Gene_ID	Count
Pcer_024770-RA	       2
Pcer_097478-RA	       5
Pcer_097479-RA	       6
Pcer_024776-RA	       1
Pcer_097481-RA	       1
Pcer_097483-RA	       1
Pcer_097484-RA	       3
Pcer_024782-RA	       1
Pcer_097486-RA	      23
Pcer_097488-RA	       1
Pcer_097489-RA	       9
Pcer_097491-RA	      13
Pcer_024785-RA	      73
Pcer_024787-RA	       1
Pcer_024786-RA	      26
Pcer_024788-RA	      10
Pcer_097492-RA	       7
Pcer_024789-RA	      11
Pcer_097493-RA	       9
Pcer_024791-RA	       3
Pcer_024796-RA	       2
Pcer_024797-RA	       9
Pcer_024799-RA	       5
Pcer_024800-RA	       7
Pcer_024801-RA	      13
Pcer_024802-RA	      11
Pcer_024804-RA	      12
Pcer_097494-RA	       8
Pcer_097495-RA	       2
Pcer_097496-RA	      12
Pcer_097497-RA	      56
Pcer_097498-RA	      15
Pcer_024808-RA	      54
Pcer_097499-RA	       4
Pcer_024811-RA	       9
Pcer_097502-RA	       4
Pcer_024814-RA	       5
Pcer_097504-RA	       3
Pcer_097506-RA	       2
Pcer_097507-RA	       8
Pcer_024819-RA	      25
Pcer_024820-RA	      22
Pcer_024821-RA	      25
Pcer_024823-RA	       6
Pcer_024824-RA	      22
Pcer_097508-RA	      19
Pcer_024827-RA	       4
Pcer_024826-RA	       7
Pcer_097510-RA	       5
Pcer_097511-RA	       3
Pcer_024831-RA	       3
Pcer_097518-RA	       4
Pcer_097521-RA	      27
Pcer_097523-RA	       4
Pcer_024848-RA	       2
Pcer_097525-RA	       3
Pcer_097529-RA	       1
Pcer_024855-RA	       1
Pcer_024856-RA	       2
Pcer_097532-RA	       1
Pcer_097536-RA	       1
Pcer_024874-RA	       2
Pcer_097540-RA	       2
Pcer_024876-RA	      11
Pcer_097542-RA	       2
Pcer_024880-RA	       7
Pcer_024883-RA	       2
Pcer_097545-RA	       4
Pcer_097546-RA	       1
Pcer_097547-RA	       2
Pcer_097548-RA	       1
Pcer_097549-RA	       1
Pcer_097550-RA	       3
Pcer_024892-RA	       1
Pcer_024893-RA	       1
Pcer_024894-RA	       6
Pcer_024895-RA	       8
Pcer_024897-RA	       1
Pcer_024898-RA	       1
Pcer_024899-RA	       4
Pcer_024900-RA	       3
Pcer_024901-RA	      18
Pcer_024902-RA	       3
Pcer_097551-RA	       3
Pcer_097552-RA	      23
Pcer_024906-RA	      13
Pcer_097553-RA	       1
Pcer_024910-RA	       9
Pcer_024911-RA	       2
Pcer_097554-RA	      11
Pcer_024913-RA	       5
Pcer_024914-RA	       4
Pcer_024915-RA	       5
Pcer_097555-RA	       2
Pcer_024919-RA	       1
Pcer_024920-RA	       5
Pcer_024921-RA	       1
Pcer_024922-RA	       2
Pcer_024924-RA	       8
Pcer_024925-RA	       8
Pcer_024926-RA	       4
Pcer_024927-RA	       2
Pcer_024928-RA	       2
Pcer_024929-RA	       3
Pcer_024930-RA	      19
Pcer_024931-RA	      20
Pcer_024932-RA	       1
Pcer_024933-RA	       2
Pcer_024935-RA	      11
Pcer_024937-RA	       2
Pcer_024938-RA	      12
Pcer_024939-RA	       1
Pcer_024940-RA	       2
Pcer_024941-RA	       4
Pcer_024944-RA	       1
Pcer_024948-RA	       2
Pcer_024949-RA	       1
Pcer_024951-RA	       1
Pcer_024952-RA	       2
Pcer_024955-RA	       1
Pcer_024957-RA	       1
